state,district,pincode,velocity_q3,volume_sum,volume_median,elderly_pressure_median,child_ratio_mean,bio_sum,bio_compliance_rate
Bihar,Purbi Champaran,845401,1081.75,2033.0,1016.5,0.0,0.24439984837116852,0.0,0.0
Bihar,Purbi Champaran,845437,959.0,959.0,959.0,0.0,0.2677083333333333,0.0,0.0
Bihar,Purbi Champaran,845301,926.5,1632.0,816.0,0.0,0.2634147366515369,0.0,0.0
Bihar,Purbi Champaran,845305,904.75,1675.0,837.5,0.0,0.27909960992245164,0.0,0.0
Bihar,Purbi Champaran,845433,843.5,1602.0,801.0,0.0,0.24326039067327695,0.0,0.0
Bihar,Purbi Champaran,845303,793.5,1733.0,743.0,0.0,0.15727811516538914,0.0,0.0
Gujarat,Sabar Kantha,383422,499.0,499.0,499.0,0.0,0.21,0.0,0.0
Gujarat,Sabar Kantha,383270,466.0,622.0,311.0,0.5,0.1348314606741573,0.0,0.0
Gujarat,Banas Kantha,385566,440.25,587.0,293.5,0.0,0.2593537414965986,1.0,0.0017006802721088435
Bihar,Purbi Champaran,845304,417.5,937.0,332.0,0.0,0.2676940116260504,0.0,0.0
Uttar Pradesh,Shravasti,271803,401.75,651.0,325.5,0.0,0.24177525016197535,0.0,0.0
Bihar,Purbi Champaran,845315,242.0,242.0,242.0,0.0,0.1851851851851851,0.0,0.0
Gujarat,Banas Kantha,385575,214.5,430.0,2.0,0.0,0.2641802641802642,1.0,0.002320185614849188
Karnataka,Bengaluru Urban,560103,197.25,385.0,192.5,0.0,0.2793156992932105,0.0,0.0
Gujarat,Panch Mahals,389341,178.75,239.0,119.5,0.5,0.2916666666666667,0.0,0.0
Gujarat,Banas Kantha,385320,159.5,1368.0,1.0,0.0,0.1374392291499599,2.0,0.0014609203798392988
Gujarat,Banas Kantha,385310,123.0,1885.0,1.0,0.0,0.29472717884642763,1.0,0.0005302226935312832
Uttar Pradesh,Mathura,272153,103.0,861.0,861.0,0.0,0.2784222737819025,0.0,0.0
Gujarat,Banas Kantha,385135,90.0,361.0,0.5,0.0,0.21364265927977838,1.0,0.0027624309392265192
Bihar,Pashchim Champaran,845306,65.5,1241.0,0.0,0.0,0.08695942675405124,2.0,0.001610305958132045
Gujarat,Banas Kantha,385545,63.0,667.0,1.0,0.0,0.17581206474715058,2.0,0.0029940119760479044
Andhra Pradesh,Spsr Nellore,524304,62.0,62.0,62.0,0.0,0.238095238095238,0.0,0.0
Gujarat,Banas Kantha,385330,61.0,869.0,1.0,0.0,0.26279021558872306,2.0,0.0022988505747126436
Andhra Pradesh,Spsr Nellore,524311,51.0,51.0,51.0,0.0,0.2884615384615384,0.0,0.0
Uttar Pradesh,Bahraich,271855,48.0,7167.0,17.0,5.482142857142858,0.27873414583950334,20643.0,2.8798828125
Gujarat,Banas Kantha,385130,47.5,191.0,0.5,0.0,0.2231675392670157,1.0,0.005208333333333333
Gujarat,Banas Kantha,385570,43.0,89.0,0.0,0.0,0.13703703703703704,2.0,0.022222222222222223
Bihar,West Champaran,845438,39.0,4951.0,20.0,9.083333333333334,0.2956390021420213,21925.0,4.427504038772213
Meghalaya,Kamrup,781131,31.0,143.0,143.0,0.0,0.0902777777777777,0.0,0.0
Uttar Pradesh,Bahraich,271865,29.0,5731.0,14.0,7.5,0.20957013408544345,22280.0,3.886950453593859
Meghalaya,West Khasi Hills,793119,24.25,11237.0,14.5,2.583333333333333,0.13890976594699428,4210.0,0.3746218188289731
Bihar,East Champaran,845401,22.0,3316.0,15.0,7.697368421052632,0.20171240329393758,16293.0,4.9119686463672
Bihar,Madhepura,852210,21.0,1490.0,11.5,6.291666666666666,0.28195472639810526,13523.0,9.069751844399732
Bihar,West Champaran,845455,20.0,2980.0,11.0,7.647058823529412,0.2583923604087398,13396.0,4.493794028849379
Bihar,Sheikhpura,811105,19.5,1298.0,8.0,5.916666666666667,0.26619620809478445,18010.0,13.86451116243264
Bihar,West Champaran,845101,18.0,1859.0,10.0,9.0,0.23039052110734878,9166.0,4.927956989247312
Bihar,Lakhisarai,811311,17.0,3136.0,8.0,8.323886639676115,0.29050338177239576,17864.0,5.694612687280841
Bihar,Nawada,805130,17.0,1222.0,9.0,6.307692307692308,0.12745361539894423,6881.0,5.626328699918234
Uttar Pradesh,Balrampur,271201,15.5,1076.0,7.0,7.3076923076923075,0.24619075697623355,15237.0,14.147632311977716
Bihar,East Champaran,845305,15.25,1724.0,12.0,9.190909090909091,0.16884930488569502,7928.0,4.595942028985507
Bihar,Gaya,824233,13.25,1247.0,5.0,5.0,0.12952771466334217,6277.0,5.029647435897436
Bihar,Patna,804452,13.0,875.0,8.0,6.0588235294117645,0.07300760097901932,8239.0,9.405251141552512
Bihar,West Champaran,845451,13.0,1007.0,8.0,9.071428571428571,0.1986022812599343,7546.0,7.486111111111111
Uttar Pradesh,Budaun,243638,12.0,2576.0,9.0,7.777777777777778,0.2789874140604506,11220.0,4.353899883585565
Gujarat,Dahod,389180,12.0,1417.0,4.0,3.625,0.2842022031773388,12820.0,9.040902679830747
Bihar,West Champaran,845105,12.0,925.0,5.5,10.708333333333334,0.21946168520534928,14557.0,15.720302375809935
Bihar,East Champaran,845303,12.0,2176.0,6.0,8.428104575163399,0.16336734948110518,7838.0,3.600367478180983
Meghalaya,West Jaintia Hills,793150,12.0,6608.0,10.5,2.0625,0.18189837185839627,4043.0,0.6117415645332123
Bihar,Nalanda,803110,11.5,866.0,5.0,5.666666666666667,0.14535263369562684,8083.0,9.322952710495963
Bihar,Gopalganj,841409,11.25,1325.0,6.0,6.142857142857142,0.19531532283086162,5049.0,3.8076923076923075
Bihar,Kaimur (Bhabua),821109,11.0,2152.0,6.0,7.185064935064936,0.2348943935208973,12614.0,5.8588016720854625
Uttar Pradesh,Sambhal,202522,11.0,1021.0,7.0,4.333333333333333,0.22379599457623692,7716.0,7.549902152641879
Bihar,Gopalganj,841438,11.0,2623.0,7.0,8.428571428571429,0.2123956078040698,9660.0,3.6814024390243905
Bihar,Katihar,854114,10.75,935.0,5.0,7.875,0.2996928943530828,6901.0,7.372863247863248
Bihar,Aurangabad,824124,10.75,792.0,5.0,6.28125,0.15701140763179802,7679.0,9.683480453972257
Uttar Pradesh,Siddharthnagar,272153,10.5,3139.0,14.0,5.5,0.23222959040462726,18085.0,5.759554140127388
Uttar Pradesh,Kasganj,207243,10.0,1783.0,5.0,5.4,0.23212893523759567,7929.0,4.444506726457399
