state,district,pincode,audit_status,total_txns,risk_reason,severity_score
West Bengal,Dinajpur Uttar,733210,HIGH RISK - Action Required,2727.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.11847237659965493
Uttar Pradesh,Kushi Nagar,274304,HIGH RISK - Action Required,1570.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.11277481195924854
West Bengal,24 Paraganas North,743329,HIGH RISK - Action Required,1418.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.10598842441546519
Uttar Pradesh,Siddharth Nagar,272206,HIGH RISK - Action Required,1188.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.09981578693077298
West Bengal,Dinajpur Uttar,733201,HIGH RISK - Action Required,1152.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.09981578693077298
West Bengal,Dinajpur Uttar,733207,HIGH RISK - Action Required,3580.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.09313418820716246
Bihar,Purbi Champaran,845437,HIGH RISK - Action Required,959.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.08430935864919054
West Bengal,Dinajpur Uttar,733202,HIGH RISK - Action Required,2243.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.08188436206405059
Haryana,Nuh,122508,HIGH RISK - Action Required,1079.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.07915432675539436
West Bengal,Coochbehar,736135,HIGH RISK - Action Required,1440.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.07589045193569444
Madhya Pradesh,Ashoknagar,473101,HIGH RISK - Action Required,777.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.07557954600872963
Jharkhand,East Singhbum,831002,HIGH RISK - Action Required,769.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.0744949492326582
Uttar Pradesh,Siddharth Nagar,272205,HIGH RISK - Action Required,721.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.07341181911071704
Assam,Barpeta,783101,HIGH RISK - Action Required,940.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.07287080342516106
Uttar Pradesh,Siddharth Nagar,272207,HIGH RISK - Action Required,754.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.07233015365961204
Uttar Pradesh,Siddharth Nagar,272202,HIGH RISK - Action Required,681.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.0712499508987311
West Bengal,Coochbehar,736167,HIGH RISK - Action Required,711.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.0712499508987311
Bihar,Purbi Champaran,845401,HIGH RISK - Action Required,2033.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.07101941589602545
Bihar,Purbi Champaran,845418,HIGH RISK - Action Required,1963.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.07048001833028406
