state,district,pincode,audit_status,risk_reason,severity_score
100000,100000,100000,HIGH RISK - Action Required,Abnormally Low Bio Updates,-0.07187796677069569
Assam,Darrang,784115,HIGH RISK - Action Required,Pattern Anomaly,-0.031228406107185247
Assam,Karimganj,788712,HIGH RISK - Action Required,Pattern Anomaly,-0.007296538544096509
Assam,Sonitpur,784101,HIGH RISK - Action Required,Pattern Anomaly,-0.024484160172273728
Assam,Sonitpur,784103,HIGH RISK - Action Required,Pattern Anomaly,-0.013882019974805093
Assam,Sonitpur,784505,HIGH RISK - Action Required,Pattern Anomaly,-0.016633169812007575
Bihar,Araria,854318,HIGH RISK - Action Required,Pattern Anomaly,-0.028185877746490506
Bihar,Araria,854329,HIGH RISK - Action Required,Pattern Anomaly,-0.03134903127688682
Bihar,Araria,854333,HIGH RISK - Action Required,Pattern Anomaly,-0.029652455049991255
Bihar,East Champaran,845401,SUPPRESSED - Verified Migration Context,Pattern Anomaly,-0.08558389312153125
Bihar,Gaya,824233,SUPPRESSED - Verified Migration Context,Pattern Anomaly,-0.01935002783687334
Bihar,Katihar,854317,HIGH RISK - Action Required,Pattern Anomaly,-0.09416448670441746
Bihar,Khagaria,848203,HIGH RISK - Action Required,Pattern Anomaly,-0.09162713934534139
Bihar,Khagaria,851204,HIGH RISK - Action Required,Pattern Anomaly,-0.08441895000923993
Bihar,Kishanganj,855107,HIGH RISK - Action Required,Pattern Anomaly,-0.04498073104441613
Bihar,Lakhisarai,811311,SUPPRESSED - Verified Migration Context,Pattern Anomaly,-0.03076859213005456
Bihar,Madhepura,852112,HIGH RISK - Action Required,Pattern Anomaly,-0.02372183378393622
Bihar,Madhepura,852210,SUPPRESSED - Verified Migration Context,Pattern Anomaly,-0.1032155564514412
Bihar,Madhubani,847408,HIGH RISK - Action Required,Pattern Anomaly,-0.048809440285497274
Bihar,Muzaffarpur,843128,SUPPRESSED - Verified Migration Context,Pattern Anomaly,-0.01844790378647343
Bihar,Nalanda,803110,SUPPRESSED - Verified Migration Context,Pattern Anomaly,-0.01610410088082892
Bihar,Nawada,805130,SUPPRESSED - Verified Migration Context,Pattern Anomaly,-0.04924156577350691
Bihar,Purnia,854204,HIGH RISK - Action Required,Pattern Anomaly,-0.019673236796760474
Bihar,Purnia,854304,HIGH RISK - Action Required,Pattern Anomaly,-0.05356438189542967
Bihar,Samastipur,848101,HIGH RISK - Action Required,Pattern Anomaly,-0.05371213778018169
Bihar,Samastipur,848114,HIGH RISK - Action Required,Pattern Anomaly,-0.08899809511721046
Bihar,Sheikhpura,811105,SUPPRESSED - Verified Migration Context,Pattern Anomaly,-0.04145769961449364
Bihar,Sitamarhi,843327,HIGH RISK - Action Required,Pattern Anomaly,-0.00217213935687377
Bihar,Supaul,852131,HIGH RISK - Action Required,Pattern Anomaly,-0.03823347280657252
Bihar,West Champaran,845101,SUPPRESSED - Verified Migration Context,Pattern Anomaly,-0.06459506833768303
